구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년04월16일,2256.07,2208.82,2179.81,2151.77,2138.64,2174.45,2189.45,2174.22,2164.68,2154.82,2197.22,2150.56,2139.21,2166.48,2185.68,2248.00,2205.38
2022년04월17일,2255.99,2209.46,2179.81,2151.77,2138.64,2173.66,2189.45,2173.73,2164.68,2151.74,2197.22,2150.56,2139.21,2167.27,2185.88,2248.00,2205.38
2022년04월18일,2256.81,2209.08,2179.81,2156.83,2137.79,2174.45,2189.45,2174.11,2164.65,2151.23,2196.41,2150.09,2140.64,2167.33,2186.19,2248.00,2205.38
2022년04월19일,2253.21,2210.74,2179.80,2156.46,2138.42,2174.45,2189.45,2174.21,2164.66,2151.10,2197.33,2152.28,2142.14,2167.47,2185.17,2248.00,2205.38
2022년04월20일,2251.77,2210.74,2178.86,2156.49,2140.81,2173.92,2189.45,2173.94,2165.31,2153.15,2196.82,2155.07,2155.36,2167.75,2185.17,2248.00,2205.38
2022년04월21일,2249.58,2210.94,2179.41,2149.03,2141.44,2173.92,2189.95,2173.96,2165.31,2153.67,2200.69,2156.02,2156.07,2165.84,2185.03,2248.00,2205.38
2022년04월22일,2250.24,2211.58,2175.64,2153.24,2141.44,2173.13,2189.95,2173.90,2165.31,2153.67,2202.73,2157.65,2158.93,2163.45,2184.86,2248.00,2205.38
2022년04월23일,2249.29,2211.71,2175.48,2154.71,2140.67,2173.39,2189.95,2174.27,2164.39,2152.90,2202.73,2157.88,2158.93,2163.23,2185.42,2276.57,2205.38
2022년04월24일,2248.13,2211.71,2175.48,2154.44,2141.15,2173.39,2190.45,2174.75,2164.39,2152.90,2202.73,2157.42,2158.93,2163.00,2185.42,2276.57,2205.38
2022년04월25일,2256.07,2211.79,2175.48,2154.32,2141.69,2173.16,2190.45,2174.96,2165.68,2152.90,2202.73,2157.42,2158.93,2163.00,2185.42,2276.57,2202.88
2022년04월26일,2260.36,2210.40,2176.27,2155.29,2143.15,2173.16,2190.45,2175.94,2164.92,2153.08,2203.14,2159.95,2158.93,2162.82,2184.92,2279.43,2202.88
2022년04월27일,2262.94,2210.40,2176.42,2153.08,2143.56,2173.16,2190.45,2179.33,2164.79,2153.33,2203.14,2159.95,2158.93,2162.48,2184.48,2279.43,2202.88
2022년04월28일,2264.79,2211.90,2177.69,2152.65,2144.69,2172.89,2190.45,2179.86,2160.03,2152.82,2202.53,2160.42,2158.93,2163.73,2185.69,2279.43,2202.88
2022년04월29일,2266.51,2212.54,2177.83,2155.29,2146.63,2173.95,2188.95,2181.28,2161.25,2153.59,2204.17,2164.60,2158.93,2164.70,2194.95,2279.43,2175.43
2022년04월30일,2268.08,2212.54,2179.23,2156.25,2146.00,2175.89,2192.45,2182.92,2166.03,2161.03,2208.65,2175.88,2158.93,2165.86,2199.51,2279.43,2175.43
2022년05월01일,2224.47,2174.55,2152.67,2100.92,2113.50,2127.34,2148.90,2142.32,2131.47,2136.33,2182.55,2147.93,2125.93,2137.75,2162.67,2243.86,2116.57
2022년05월02일,2217.43,2169.46,2144.86,2092.68,2110.85,2125.16,2138.10,2135.78,2127.71,2128.82,2175.12,2143.05,2122.36,2132.98,2160.88,2229.00,2111.57
2022년05월03일,2205.11,2164.82,2143.38,2089.91,2108.10,2124.16,2137.10,2129.46,2125.31,2121.10,2169.00,2141.88,2111.64,2130.93,2157.22,2229.00,2100.14
2022년05월04일,2207.09,2163.79,2138.43,2086.37,2108.23,2122.05,2135.60,2127.90,2122.78,2119.63,2171.45,2141.24,2102.29,2128.50,2157.56,2229.00,2100.14
2022년05월05일,2206.64,2163.59,2137.48,2089.35,2106.04,2119.68,2135.60,2126.98,2120.03,2120.38,2166.80,2140.52,2100.86,2127.64,2153.50,2228.00,2137.00
2022년05월06일,2206.74,2164.92,2136.84,2091.05,2103.96,2119.68,2133.60,2128.15,2119.97,2119.25,2163.82,2141.48,2100.86,2127.16,2149.92,2228.00,2137.00
2022년05월07일,2207.94,2168.13,2136.84,2093.02,2103.96,2119.68,2133.60,2130.91,2120.64,2119.75,2166.47,2147.43,2104.79,2129.32,2149.72,2233.71,2139.50
2022년05월08일,2208.84,2177.62,2144.94,2102.34,2111.25,2130.53,2136.00,2133.95,2125.86,2124.75,2167.85,2150.79,2117.82,2132.39,2157.86,2233.71,2118.00
2022년05월09일,2213.61,2177.87,2147.52,2103.40,2115.71,2132.61,2149.60,2135.63,2127.23,2130.10,2172.31,2155.07,2122.64,2138.16,2157.69,2233.71,2103.00
2022년05월10일,2229.30,2183.58,2155.86,2111.24,2119.54,2146.82,2156.80,2148.67,2135.11,2141.40,2180.92,2156.48,2126.21,2144.86,2166.72,2272.29,2150.13
2022년05월11일,2232.93,2182.55,2155.83,2113.18,2120.23,2149.79,2155.50,2150.98,2133.92,2145.00,2183.78,2155.81,2127.64,2144.86,2167.37,2272.29,2157.63
2022년05월12일,2234.95,2184.17,2158.84,2122.68,2124.94,2154.21,2159.50,2156.19,2135.98,2146.70,2191.02,2158.90,2130.50,2149.18,2170.92,2272.29,2162.63
2022년05월13일,2241.22,2187.42,2161.86,2125.27,2125.71,2156.69,2162.60,2161.57,2146.29,2147.45,2195.73,2159.38,2132.82,2151.82,2169.24,2272.29,2168.13
2022년05월14일,2244.38,2189.18,2164.03,2126.42,2127.90,2160.54,2163.10,2164.31,2148.83,2148.18,2196.98,2160.48,2133.29,2156.00,2167.65,2272.29,2168.13
2022년05월15일,2240.90,2189.18,2164.67,2129.05,2128.94,2160.79,2163.10,2165.31,2149.75,2149.93,2197.40,2161.17,2134.00,2158.79,2168.77,2272.29,2173.13
2022년05월16일,2242.14,2189.56,2166.06,2130.14,2129.56,2160.79,2163.60,2168.52,2149.75,2150.18,2198.65,2161.64,2134.71,2159.95,2169.26,2272.29,2173.13
2022년05월17일,2254.09,2198.50,2169.83,2135.15,2132.42,2162.38,2173.95,2172.96,2154.75,2150.18,2196.91,2162.83,2139.71,2164.95,2172.63,2295.14,2176.63
2022년05월18일,2255.60,2202.35,2170.56,2137.82,2133.88,2164.31,2179.95,2175.98,2156.88,2151.83,2197.55,2165.14,2147.82,2169.50,2173.61,2295.14,2180.38
2022년05월19일,2260.01,2208.14,2178.52,2140.97,2138.56,2171.38,2183.15,2181.82,2168.18,2159.95,2204.50,2167.33,2154.61,2177.51,2179.45,2295.14,2182.88
2022년05월20일,2268.39,2210.58,2179.60,2143.71,2142.73,2177.93,2185.00,2186.39,2170.65,2161.20,2208.94,2171.05,2158.89,2180.84,2182.68,2295.14,2184.13
2022년05월21일,2275.35,2215.03,2181.58,2150.71,2144.21,2178.93,2188.00,2188.43,2173.19,2162.55,2217.94,2172.21,2161.75,2184.58,2187.90,2313.71,2190.38
2022년05월22일,2278.00,2216.76,2184.05,2153.14,2144.63,2180.55,2193.50,2189.85,2170.22,2163.05,2218.76,2172.21,2163.54,2188.84,2190.00,2313.71,2190.38
2022년05월23일,2283.64,2220.76,2184.66,2158.35,2144.63,2181.30,2194.00,2193.48,2174.59,2167.58,2222.47,2171.91,2163.54,2190.84,2191.89,2313.71,2195.38
2022년05월24일,2296.27,2229.54,2191.25,2168.21,2152.58,2191.20,2204.30,2199.59,2182.78,2172.30,2226.14,2174.98,2176.18,2192.98,2198.81,2326.86,2199.13
2022년05월25일,2300.80,2230.51,2191.29,2177.15,2153.27,2193.90,2204.80,2205.61,2186.03,2177.05,2222.37,2176.41,2180.11,2195.20,2205.30,2326.86,2204.13
2022년05월26일,2306.83,2236.42,2191.77,2176.85,2153.35,2192.68,2207.00,2207.28,2192.25,2177.30,2224.90,2180.95,2180.29,2194.82,2206.95,2332.57,2206.63
2022년05월27일,2309.79,2240.09,2194.20,2177.13,2162.60,2194.05,2213.00,2211.88,2194.20,2179.38,2232.18,2182.36,2184.57,2199.04,2209.09,2332.57,2206.63
